date,areaCode,region,areaType,newCasesBySpecimenDate,cases_7d_avg
2020-10-23,E12000008,South East,region,1444,1311.5714285714287
2020-10-23,E12000005,West Midlands,region,2053,1921.142857142857
2020-10-24,E12000001,North East,region,869,1197.5714285714287
2020-10-24,E12000008,South East,region,1109,1357.0
2020-10-24,E12000006,East Of England,region,600,915.7142857142857
2020-10-24,E12000004,East Midlands,region,1480,1899.4285714285713
2020-10-24,E12000002,North West,region,3441,4803.571428571428
2020-10-24,E12000005,West Midlands,region,1564,1965.2857142857142
2020-10-24,E12000009,South West,region,814,1088.857142857143
2020-10-24,E12000007,London,region,1458,2011.4285714285713
2020-10-24,E12000003,Yorkshire And The Humber,region,2312,3162.285714285714
2020-10-25,E12000007,London,region,1303,2010.7142857142858
2020-10-25,E12000008,South East,region,984,1386.7142857142858
2020-10-25,E12000003,Yorkshire And The Humber,region,2195,3155.4285714285716
2020-10-25,E12000002,North West,region,3329,4814.857142857143
2020-10-25,E12000009,South West,region,930,1135.857142857143
2020-10-25,E12000004,East Midlands,region,1493,1955.5714285714287
2020-10-25,E12000001,North East,region,860,1201.0
2020-10-25,E12000006,East Of England,region,576,914.2857142857143
2020-10-25,E12000005,West Midlands,region,1607,2022.857142857143
2020-10-26,E12000007,London,region,2561,2039.5714285714287
2020-10-26,E12000008,South East,region,1883,1452.142857142857
2020-10-26,E12000005,West Midlands,region,2654,2083.4285714285716
2020-10-26,E12000006,East Of England,region,1156,928.8571428571429
2020-10-26,E12000009,South West,region,1375,1166.0
2020-10-26,E12000003,Yorkshire And The Humber,region,3878,3149.714285714286
2020-10-26,E12000001,North East,region,1329,1188.0
2020-10-26,E12000002,North West,region,5628,4729.428571428572
2020-10-26,E12000004,East Midlands,region,2386,1952.142857142857
2020-10-27,E12000002,North West,region,4996,4629.714285714285
2020-10-27,E12000007,London,region,2111,2007.4285714285713
2020-10-27,E12000005,West Midlands,region,2465,2105.285714285714
2020-10-27,E12000004,East Midlands,region,2075,1942.142857142857
2020-10-27,E12000008,South East,region,1718,1464.857142857143
2020-10-27,E12000006,East Of England,region,940,905.1428571428571
2020-10-27,E12000003,Yorkshire And The Humber,region,3630,3143.0
2020-10-27,E12000009,South West,region,1450,1206.0
2020-10-27,E12000001,North East,region,1195,1150.7142857142858
2020-10-28,E12000001,North East,region,1186,1103.857142857143
2020-10-28,E12000009,South West,region,1403,1207.142857142857
2020-10-28,E12000003,Yorkshire And The Humber,region,3668,3153.4285714285716
2020-10-28,E12000006,East Of England,region,1028,901.2857142857143
2020-10-28,E12000002,North West,region,4708,4500.0
2020-10-28,E12000007,London,region,1996,1953.142857142857
2020-10-28,E12000005,West Midlands,region,2591,2152.8571428571427
2020-10-28,E12000004,East Midlands,region,2171,1945.2857142857142
2020-10-28,E12000008,South East,region,1644,1462.142857142857
2020-10-29,E12000006,East Of England,region,986,899.0
2020-10-29,E12000007,London,region,2030,1928.857142857143
2020-10-29,E12000001,North East,region,1138,1089.5714285714287
2020-10-29,E12000002,North West,region,4614,4464.857142857143
2020-10-29,E12000004,East Midlands,region,2123,1941.2857142857142
2020-10-29,E12000008,South East,region,1727,1501.2857142857142
